24-Feb-20,,,,,,,,,,,,,,,,,,,
"State Individual Income Taxes, 2020",,,,,,,,,,,,,,,,,,,
"(Tax rates for tax year 2020 -- as of January 1, 2020)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Tax Rate Range,,,,Number,,,,,,,,,,,,Federal,,
(k) The amounts reported for Louisiana are a combined personal exemption-standard deduction.,,,,,,,,,,,,,,,,,,,
"(l) The income bracket reported for Maine are for single individuals.  For married couples filing jointly, the same tax rates apply to income brackets ranging from $44,450 to $105,200.",,,,,,,,,,,,,,,,,,,
"(m) The income brackets reported for Maryland are for single individuals.  For married couples filing jointly, the same tax rates apply to income brackets ranging from $1,000, to $300,000.",,,,,,,,,,,,,,,,,,,
"(n) The income brackets reported for Minnesota are for single individuals.  For married couples filing jointly, the same tax rates apply to income brackets ranging from $39,410 to $273,470. ",,,,,,,,,,,,,,,,,,,
"(o) The deduction for federal income tax is limited to $5,000 for individuals and $10,000 for joint returns in Missouri and Montana, and to $6,500 for all filers in Oregon.",,,,,,,,,,,,,,,,,,,
"(p) The New Jersey rates reported are for single individuals.  For married couples filing jointly, the tax rates also range from 1.4% to 10.75%, with 8 brackets and the same high and low income ranges.  ",,,,,,,,,,,,,,,,,,,
"(q)  The income brackets reported for New Mexico are for single individuals.  For married couples filing jointly, the same tax rates apply to income brackets ranging from $8,000 to $24,000.",,,,,,,,,,,,,,,,,,,
"(r) The income brackets reported for North Dakota are for single individuals.  For married couples filing jointly, the same tax rates apply to income brackets ranging from $67,050 to $440,600.",,,,,,,,,,,,,,,,,,,
(s) Ohio provides an additional tax credit of $20 per exemption. Exemption amounts reduced for higher income taxpayers.,,,,,,,,,,,,,,,,,,,
"(t) The income brackets reported for Oklahoma are for single persons.  For married persons filing jointly, the same tax rates apply to income brackets ranging from $2,000, to $12,200.",,,,,,,,,,,,,,,,,,,
"(v) Vermont’s income brackets reported are for single individuals. For married taxpayers filing jointly, the same tax rates apply to income brackets ranging from $67,450 to $248,350.  ",,,,,,,,,,,,,,,,,,,
"(w) The Wisconsin income brackets reported are for single individuals.  For married taxpayers filing jointly, the same tax rates apply income brackets ranging from $15,690, to $351,310. ",,,,,,,,,,,,,,,,,,,
"(x) Tennessee Hall Tax Rate on Dividends and Interest is being phased out, 1% reduction each year.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
