To_State,Total
Arizona,2074
Arkansas,3041
California,3077
Colorado,2485
Connecticut,107
Delaware,154
District of Columbia,0
Florida,2181
Georgia,1181
Hawaii,286
Idaho,277
Illinois,760
Indiana,677
Iowa,403
Kansas,2718
Kentucky,311
Louisiana,771
Maine,21
Maryland,501
Massachusetts,313
Michigan,410
Minnesota,595
Mississippi,219
Missouri,2813
Montana,178
Nebraska,343
Nevada,597
New Hampshire,44
New Jersey,146
New Mexico,554
New York,708
North Carolina,899
North Dakota,205
Ohio,433
Oregon,686
Pennsylvania,845
Rhode Island,16
South Carolina,375
South Dakota,95
Tennessee,1090
Texas,13768
Utah,413
Vermont,0
Virginia,1129
Washington,1500
West Virginia,98
Wisconsin,691
Wyoming,145
Alabama,237
Alaska,637
Arizona,6080
Arkansas,143
California,10730
Colorado,2566
Connecticut,174
Delaware,0
District of Columbia,58
Florida,1577
Georgia,876
Hawaii,898
Idaho,2534
Illinois,596
Indiana,555
Iowa,351
Kansas,384
Kentucky,401
Louisiana,244
Maine,123
Maryland,351
Massachusetts,439
Michigan,750
Minnesota,448
Mississippi,225
Missouri,694
Montana,825
Nebraska,271
Nevada,1683
New Hampshire,205
New Jersey,106
New Mexico,573
New York,1117
North Carolina,1194
North Dakota,39
Ohio,1001
Oklahoma,459
Pennsylvania,699
Rhode Island,197
South Carolina,216
South Dakota,35
Tennessee,854
Texas,2553
Utah,1978
Vermont,91
Virginia,363
Washington,17483
West Virginia,86
Wisconsin,436
Wyoming,185
Alabama,725
Alaska,154
Arizona,2586
Arkansas,611
California,8375
Colorado,2307
Connecticut,1896
Delaware,6938
District of Columbia,597
Florida,19623
Georgia,3629
Hawaii,325
Idaho,333
Illinois,2918
Indiana,1817
Iowa,405
Kansas,454
Kentucky,1022
Louisiana,623
Maine,872
Maryland,7757
Massachusetts,3971
Michigan,2393
Minnesota,1104
Mississippi,173
Missouri,1049
Montana,37
Nebraska,260
Nevada,1097
New Hampshire,627
New Jersey,13604
New Mexico,740
New York,10702
North Carolina,7717
North Dakota,392
Ohio,7133
Oklahoma,540
Oregon,970
Rhode Island,406
South Carolina,3744
South Dakota,11
Tennessee,1832
Texas,6823
Utah,472
Vermont,443
Virginia,6694
Washington,1879
West Virginia,2321
Wisconsin,706
Wyoming,453
Alabama,136
Alaska,0
Arizona,108
Arkansas,0
California,1769
Colorado,335
Connecticut,1623
Delaware,20
District of Columbia,38
Florida,2081
Georgia,288
Hawaii,90
Idaho,0
Illinois,290
Indiana,0
Iowa,104
Kansas,0
Kentucky,0
Louisiana,7
Maine,127
Maryland,294
Massachusetts,4789
Michigan,163
Minnesota,149
Mississippi,5
Missouri,78
Montana,0
Nebraska,271
Nevada,76
New Hampshire,422
New Jersey,230
New Mexico,130
New York,810
North Carolina,383
North Dakota,0
Ohio,91
Oklahoma,39
Oregon,86
Pennsylvania,407
South Carolina,452
South Dakota,0
Tennessee,206
Texas,563
Utah,63
Vermont,145
Virginia,778
Washington,179
West Virginia,0
Wisconsin,8
Wyoming,25
Alabama,566
Alaska,28
Arizona,841
Arkansas,18
California,2019
Colorado,1346
Connecticut,477
Delaware,167
District of Columbia,217
Florida,7279
Georgia,8012
Hawaii,336
Idaho,51
Illinois,615
Indiana,872
Iowa,366
Kansas,104
Kentucky,1001
Louisiana,964
Maine,173
Maryland,1003
Massachusetts,820
Michigan,1500
Minnesota,168
Mississippi,365
Missouri,1022
Montana,31
Nebraska,306
Nevada,963
New Hampshire,183
New Jersey,672
New Mexico,414
New York,2153
North Carolina,14787
North Dakota,74
Ohio,1701
Oklahoma,466
Oregon,549
Pennsylvania,2255
Rhode Island,285
South Dakota,329
Tennessee,2517
Texas,4323
Utah,245
Vermont,42
Virginia,4735
Washington,1206
West Virginia,808
Wisconsin,601
Wyoming,146
Alabama,28
Alaska,247
Arizona,912
Arkansas,60
California,547
Colorado,850
Connecticut,58
Delaware,7
District of Columbia,52
Florida,744
Georgia,207
Hawaii,29
Idaho,14
Illinois,124
Indiana,198
Iowa,1187
Kansas,87
Kentucky,81
Louisiana,45
Maine,8
Maryland,69
Massachusetts,67
Michigan,158
Minnesota,2219
Mississippi,0
Missouri,366
Montana,141
Nebraska,1146
Nevada,160
New Hampshire,0
New Jersey,41
New Mexico,16
New York,15
North Carolina,426
North Dakota,1219
Ohio,150
Oklahoma,61
Oregon,109
Pennsylvania,204
Rhode Island,34
South Carolina,201
Tennessee,215
Texas,673
Utah,213
Vermont,0
Virginia,104
Washington,337
West Virginia,23
Wisconsin,266
Wyoming,240
Alabama,5295
Alaska,118
Arizona,1189
Arkansas,2481
California,2742
Colorado,1825
Connecticut,312
Delaware,81
District of Columbia,417
Florida,9449
Georgia,9138
Hawaii,449
Idaho,147
Illinois,2643
Indiana,2056
Iowa,444
Kansas,834
Kentucky,4632
Louisiana,992
Maine,331
Maryland,998
Massachusetts,760
Michigan,3068
Minnesota,1361
Mississippi,4896
Missouri,1188
Montana,76
Nebraska,324
Nevada,513
New Hampshire,175
New Jersey,474
New Mexico,406
New York,1911
North Carolina,4323
North Dakota,520
Ohio,3007
Oklahoma,657
Oregon,590
Pennsylvania,1424
Rhode Island,341
South Carolina,2346
South Dakota,188
Texas,6621
Utah,487
Vermont,61
Virginia,3848
Washington,1757
West Virginia,949
Wisconsin,979
Wyoming,104
Alabama,4677
Alaska,813
Arizona,9012
Arkansas,6764
California,21122
Colorado,15648
Connecticut,1375
Delaware,574
District of Columbia,1042
Florida,16655
Georgia,10357
Hawaii,1413
Idaho,1735
Illinois,6147
Indiana,3940
Iowa,1987
Kansas,4288
Kentucky,2471
Louisiana,10501
Maine,1174
Maryland,3112
Massachusetts,2087
Michigan,4888
Minnesota,3198
Mississippi,2637
Missouri,5447
Montana,798
Nebraska,2610
Nevada,2988
New Hampshire,792
New Jersey,3196
New Mexico,7990
New York,6120
North Carolina,7872
North Dakota,801
Ohio,6423
Oklahoma,12674
Oregon,3357
Pennsylvania,5279
Rhode Island,677
South Carolina,3526
South Dakota,480
Tennessee,7315
Utah,3758
Vermont,159
Virginia,7670
Washington,9210
West Virginia,442
Wisconsin,2494
Wyoming,1460
Alabama,378
Alaska,60
Arizona,3978
Arkansas,273
California,4683
Colorado,1527
Connecticut,82
Delaware,0
District of Columbia,157
Florida,2057
Georgia,545
Hawaii,639
Idaho,3953
Illinois,594
Indiana,388
Iowa,140
Kansas,373
Kentucky,394
Louisiana,151
Maine,258
Maryland,369
Massachusetts,378
Michigan,278
Minnesota,536
Mississippi,145
Missouri,1022
Montana,1231
Nebraska,363
Nevada,2468
New Hampshire,172
New Jersey,137
New Mexico,579
New York,392
North Carolina,678
North Dakota,67
Ohio,709
Oklahoma,529
Oregon,2022
Pennsylvania,609
Rhode Island,96
South Carolina,470
South Dakota,189
Tennessee,576
Texas,3928
Vermont,1
Virginia,1259
Washington,3727
West Virginia,85
Wisconsin,1043
Wyoming,708
Alabama,0
Alaska,34
Arizona,242
Arkansas,0
California,516
Colorado,417
Connecticut,319
Delaware,98
District of Columbia,149
Florida,1559
Georgia,229
Hawaii,45
Idaho,89
Illinois,211
Indiana,20
Iowa,121
Kansas,0
Kentucky,40
Louisiana,28
Maine,335
Maryland,192
Massachusetts,1362
Michigan,11
Minnesota,0
Mississippi,0
Missouri,295
Montana,56
Nebraska,8
Nevada,47
New Hampshire,1498
New Jersey,174
New Mexico,59
New York,1299
North Carolina,459
North Dakota,0
Ohio,185
Oklahoma,124
Oregon,223
Pennsylvania,685
Rhode Island,99
South Carolina,224
South Dakota,0
Tennessee,423
Texas,252
Utah,33
Virginia,577
Washington,228
West Virginia,46
Wisconsin,49
Wyoming,0
Alabama,1761
Alabama,209
Alaska,398
Alaska,0
Arizona,2513
Arizona,212
Arkansas,828
Arkansas,22
California,10932
California,389
Colorado,4289
Colorado,118
Connecticut,1126
Connecticut,23
Delaware,1254
Delaware,101
District of Columbia,5857
District of Columbia,109
Florida,16889
Florida,2283
Georgia,6443
Georgia,403
Hawaii,2049
Hawaii,33
Idaho,330
Idaho,0
Illinois,3395
Illinois,350
Indiana,1474
Indiana,221
Iowa,276
Iowa,266
Kansas,910
Kansas,27
Kentucky,1460
Kentucky,1143
Louisiana,911
Louisiana,168
Maine,539
Maine,5
Maryland,14942
Maryland,1809
Massachusetts,1967
Massachusetts,87
Michigan,1952
Michigan,221
Minnesota,1089
Minnesota,37
Mississippi,659
Mississippi,511
Missouri,1373
Missouri,202
Montana,235
Montana,16
Nebraska,416
Nebraska,18
Nevada,876
Nevada,19
New Hampshire,423
New Hampshire,92
New Jersey,2752
New Jersey,315
New Mexico,794
New Mexico,57
New York,5676
New York,405
North Carolina,16047
North Carolina,2091
North Dakota,95
North Dakota,0
Ohio,3217
Ohio,4242
Oklahoma,770
Oklahoma,43
Oregon,1439
Oregon,92
Pennsylvania,6574
Pennsylvania,2598
Rhode Island,514
Rhode Island,0
South Carolina,4608
South Carolina,1124
South Dakota,325
South Dakota,18
Tennessee,4641
Tennessee,858
Texas,9759
Texas,807
Utah,636
Utah,103
Vermont,190
Vermont,27
Washington,3106
Washington,275
West Virginia,3403
West Virginia,74492
Wisconsin,1187
Wisconsin,206
Wyoming,293
Wyoming,52
Alabama,774
Alaska,1882
Arizona,10479
Arkansas,585
California,18559
Colorado,4059
Connecticut,450
Delaware,156
District of Columbia,266
Florida,3713
Georgia,1500
Hawaii,2758
Idaho,6047
Illinois,1673
Indiana,769
Iowa,584
Kansas,871
Kentucky,629
Louisiana,556
Maine,385
Maryland,927
Massachusetts,842
Michigan,1457
Minnesota,2389
Mississippi,423
Missouri,1262
Montana,2395
Nebraska,394
Nevada,3347
New Hampshire,124
New Jersey,799
New Mexico,944
New York,2701
North Carolina,2278
North Dakota,275
Ohio,1806
Oklahoma,711
Oregon,14178
Pennsylvania,1660
Rhode Island,405
South Carolina,1211
South Dakota,64
Tennessee,1363
Texas,7448
Utah,2205
Vermont,87
Virginia,3633
West Virginia,213
Wisconsin,918
Wyoming,449
Alabama,209
Alaska,0
Arizona,212
Arkansas,22
California,389
Colorado,118
Connecticut,23
Delaware,101
District of Columbia,109
Florida,2283
Georgia,403
Hawaii,33
Idaho,0
Illinois,350
Indiana,221
Iowa,266
Kansas,27
Kentucky,1143
Louisiana,168
Maine,5
Maryland,1809
Massachusetts,87
Michigan,221
Minnesota,37
Mississippi,511
Missouri,202
Montana,16
Nebraska,18
Nevada,19
New Hampshire,92
New Jersey,315
New Mexico,57
New York,405
North Carolina,2091
North Dakota,0
Ohio,4242
Oklahoma,43
Oregon,92
Pennsylvania,2598
Rhode Island,0
South Carolina,1124
South Dakota,18
Tennessee,858
Texas,807
Utah,103
Vermont,27
Virginia,2942
Washington,275
Wisconsin,206
Wyoming,52
Alabama,654
Alaska,132
Arizona,3065
Arkansas,410
California,3129
Colorado,2172
Connecticut,197
Delaware,43
District of Columbia,246
Florida,5287
Georgia,1500
Hawaii,57
Idaho,108
Illinois,7001
Indiana,1225
Iowa,1236
Kansas,231
Kentucky,833
Louisiana,187
Maine,26
Maryland,744
Massachusetts,528
Michigan,2113
Minnesota,7086
Mississippi,485
Missouri,992
Montana,272
Nebraska,170
Nevada,685
New Hampshire,43
New Jersey,303
New Mexico,155
New York,935
North Carolina,1048
North Dakota,172
Ohio,1005
Oklahoma,107
Oregon,775
Pennsylvania,1141
Rhode Island,79
South Carolina,504
South Dakota,297
Tennessee,917
Texas,3117
Utah,525
Vermont,74
Virginia,849
Washington,1518
West Virginia,113
Wyoming,63
Alabama,0
Alaska,155
Arizona,502
Arkansas,220
California,1154
Colorado,1723
Connecticut,70
Delaware,0
District of Columbia,0
Florida,440
Georgia,335
Hawaii,0
Idaho,891
Illinois,130
Indiana,106
Iowa,194
Kansas,329
Kentucky,178
Louisiana,84
Maine,5
Maryland,0
Massachusetts,49
Michigan,222
Minnesota,101
Mississippi,137
Missouri,314
Montana,1377
Nebraska,432
Nevada,447
New Hampshire,0
New Jersey,69
New Mexico,115
New York,89
North Carolina,25
North Dakota,292
Ohio,123
Oklahoma,153
Oregon,282
Pennsylvania,89
Rhode Island,0
South Carolina,48
South Dakota,883
Tennessee,126
Texas,814
Utah,899
Vermont,9
Virginia,58
Washington,674
West Virginia,0
Wisconsin,353
